feat,imp
75.0,0.0
Constipation,0.0013181639457295238
mometasone furoate 1 MG/ML Topical Cream,0.01194363121404778
Epinephrine 0.5 MG/ML,0.02071892064486819
Gastroesophageal reflux disease,0.030381357555052148
Dexamethasone phosphate 10 MG/ML Injectable Solution,0.03683606731760642
ALT_Normal,0.039183006656250616
90.0,0.047527660380006075
Omeprazole,0.07338444801522546
Albuterol 0.83 MG/ML Inhalation Solution,0.12050962463238592
Glycopyrrolate 0.2 MG/ML Injectable Solution,0.26869526911225877
Albuterol 5 MG/ML Inhalation Solution,0.39030543231298115
NDA019430 0.3 ML Epinephrine 0.5 MG/ML Auto-Injector,0.39605230543089665
lansoprazole,0.6689129914658812
Ipratropium Bromide 0.2 MG/ML Inhalation Solution,0.9713665065323284
0,1.0
