feat,imp
ALT_Normal,0.0
75.0,0.015209007643045641
Constipation,0.02020828080683498
lansoprazole,0.029782187957463627
0,0.0325400896128089
Albuterol 0.83 MG/ML Inhalation Solution,0.04902768406653626
Omeprazole,0.06389732835512296
NDA019430 0.3 ML Epinephrine 0.5 MG/ML Auto-Injector,0.10989283668402708
Gastroesophageal reflux disease,0.1838012748035149
mometasone furoate 1 MG/ML Topical Cream,0.18537853823798764
90.0,0.26569102429804214
Dexamethasone phosphate 10 MG/ML Injectable Solution,0.2887810140546787
Epinephrine 0.5 MG/ML,0.30386764903789826
Albuterol 5 MG/ML Inhalation Solution,0.5151146678324433
Ipratropium Bromide 0.2 MG/ML Inhalation Solution,0.6049904192613098
Glycopyrrolate 0.2 MG/ML Injectable Solution,1.0
