feat,imp
ALT_Normal,0.0
lansoprazole,0.02005918442934177
75.0,0.020228659563923546
0,0.02176487429447694
Constipation,0.027763718846598097
Albuterol 0.83 MG/ML Inhalation Solution,0.0387112628837469
Omeprazole,0.07249918159418874
NDA019430 0.3 ML Epinephrine 0.5 MG/ML Auto-Injector,0.08728428542631333
mometasone furoate 1 MG/ML Topical Cream,0.257348524085544
Gastroesophageal reflux disease,0.2577863165601717
90.0,0.34626640143481674
Epinephrine 0.5 MG/ML,0.425982613869653
Dexamethasone phosphate 10 MG/ML Injectable Solution,0.4266321158664716
Ipratropium Bromide 0.2 MG/ML Inhalation Solution,0.47494355097087676
Albuterol 5 MG/ML Inhalation Solution,0.4843340265739463
Glycopyrrolate 0.2 MG/ML Injectable Solution,1.0
