feat,imp
75.0,0.0
Constipation,0.0031187087192200754
mometasone furoate 1 MG/ML Topical Cream,0.005689122458545851
Epinephrine 0.5 MG/ML,0.006930274629365618
Gastroesophageal reflux disease,0.023449631628211422
90.0,0.02809406965872845
Dexamethasone phosphate 10 MG/ML Injectable Solution,0.030374012377146944
ALT_Normal,0.04700643812287734
Omeprazole,0.06162773661815488
Albuterol 0.83 MG/ML Inhalation Solution,0.14110873264667975
Glycopyrrolate 0.2 MG/ML Injectable Solution,0.2364172549647108
Albuterol 5 MG/ML Inhalation Solution,0.3731203394215201
NDA019430 0.3 ML Epinephrine 0.5 MG/ML Auto-Injector,0.38733187337460706
lansoprazole,0.7363063709507648
0,0.9558439922493788
Ipratropium Bromide 0.2 MG/ML Inhalation Solution,1.0
