feat,imp
Epinephrine 0.5 MG/ML,0.0
mometasone furoate 1 MG/ML Topical Cream,0.0001082332881434349
75.0,0.0008597539683602248
Constipation,0.0036694579066058144
90.0,0.005749530274560721
Dexamethasone phosphate 10 MG/ML Injectable Solution,0.014578894358927378
Glycopyrrolate 0.2 MG/ML Injectable Solution,0.020530801540802106
Gastroesophageal reflux disease,0.0253916609165106
ALT_Normal,0.03927849430529331
Albuterol 0.83 MG/ML Inhalation Solution,0.0513335677588439
Omeprazole,0.06276373256091154
Albuterol 5 MG/ML Inhalation Solution,0.06640852068399307
NDA019430 0.3 ML Epinephrine 0.5 MG/ML Auto-Injector,0.134472164434867
Ipratropium Bromide 0.2 MG/ML Inhalation Solution,0.25457093719756574
lansoprazole,0.5905814959622903
0,1.0
