feat,imp
75.0,0.0
Constipation,0.005307299899905271
mometasone furoate 1 MG/ML Topical Cream,0.018321991517020582
Epinephrine 0.5 MG/ML,0.028247867643993597
ALT_Normal,0.029366481079585817
Gastroesophageal reflux disease,0.04163833767641891
Omeprazole,0.05074649398307393
90.0,0.05226102565437192
Dexamethasone phosphate 10 MG/ML Injectable Solution,0.0559488846003006
Albuterol 0.83 MG/ML Inhalation Solution,0.12915008431739414
NDA019430 0.3 ML Epinephrine 0.5 MG/ML Auto-Injector,0.32145125316060114
Glycopyrrolate 0.2 MG/ML Injectable Solution,0.35890100541704373
lansoprazole,0.38235576379305775
0,0.45719885272660143
Albuterol 5 MG/ML Inhalation Solution,0.4768673160268341
Ipratropium Bromide 0.2 MG/ML Inhalation Solution,1.0
